neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,distance_to_sol_km,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,host_experience_months,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,amenities_count,has_license_info,has_wifi,has_air_conditioning,has_kitchen,has_washer,has_workspace,has_parking,has_pool,has_elevator,has_balcony_or_patio,price_numeric
Universidad,Centro,40.42371,-3.70572,0.7736905473148885,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,25.0,32.0,t,1.0,t,t,99.0,1,1,0,0,6,1,1,1,1,1,1,0,0,0,0,76.04
Universidad,Centro,40.42261,-3.70154,0.6543746090340297,Entire rental unit,Entire home/apt,2,1.0,1.0,,25.0,360.0,f,1.0,t,t,125.0,1,1,0,0,30,0,1,1,1,1,1,1,0,1,0,57.5
Universidad,Centro,40.42416,-3.70246,0.8087082729689409,Entire vacation home,Entire home/apt,2,1.0,1.0,1.0,1.0,365.0,t,1.0,t,t,52.0,1,1,0,0,33,0,1,0,1,1,0,0,0,0,0,120.0
Universidad,Centro,40.4235366,-3.7059685,0.7601954370811208,Entire rental unit,Entire home/apt,2,1.0,,1.0,1.0,1125.0,f,1.0,t,t,125.0,1,1,0,0,24,1,1,1,1,1,0,1,0,0,0,130.0
Universidad,Centro,40.4247004,-3.7008587,0.8937958664131993,Entire loft,Entire home/apt,4,,2.0,,1.0,365.0,f,9.0,t,t,94.0,5,5,0,0,43,1,1,1,1,1,1,1,0,1,0,161.18
Universidad,Centro,40.4281,-3.70917,1.327192648485234,Private room in rental unit,Private room,2,,,,3.0,7.0,t,2.0,t,t,123.0,1,0,1,0,41,1,1,0,1,1,0,0,0,0,1,194.67
Universidad,Centro,40.42406,-3.70274,0.7951260652772164,Entire rental unit,Entire home/apt,3,1.0,1.0,2.0,1.0,1125.0,f,1.0,t,t,123.0,1,1,0,0,25,1,1,1,1,1,0,0,0,1,0,141.0
Universidad,Centro,40.42296,-3.70118,0.7002884997199965,Private room in rental unit,Private room,2,1.0,,1.0,2.0,1125.0,t,1.0,t,t,125.0,1,0,1,0,22,0,1,1,1,1,1,0,0,1,1,78.74
Universidad,Centro,40.42379,-3.70528,0.7746936872168094,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,2.0,1125.0,t,2.0,t,t,120.0,2,2,0,0,32,0,1,0,1,1,1,1,0,0,0,103.0
Universidad,Centro,40.42511,-3.70688,0.9497001946141025,Entire loft,Entire home/apt,2,1.5,1.0,1.0,1.0,1125.0,t,2.0,t,t,120.0,2,2,0,0,49,0,1,1,1,1,1,1,0,0,0,152.0
Universidad,Centro,40.4217,-3.70544,0.551493748795093,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,3.0,1125.0,t,1.0,t,t,113.0,1,1,0,0,49,1,1,0,1,1,0,1,0,1,1,462.33
Universidad,Centro,40.42832,-3.70362,1.26539854835723,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,7.0,365.0,t,1.0,t,t,15.0,1,1,0,0,42,0,1,1,1,1,1,0,0,0,1,265.0
Universidad,Centro,40.42375,-3.70072,0.7957773829519955,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1.0,365.0,t,6.0,t,t,110.0,6,6,0,0,42,1,1,1,1,1,1,1,0,1,0,186.0
Universidad,Centro,40.4247,-3.71118,1.0748039770954143,Entire rental unit,Entire home/apt,2,,,,60.0,1125.0,f,1.0,t,t,124.0,1,1,0,0,20,0,1,1,1,1,0,0,0,1,0,56.9
Universidad,Centro,40.42958,-3.70586,1.41835011261073,Entire rental unit,Entire home/apt,3,,3.0,,150.0,1125.0,f,1.0,t,t,119.0,1,1,0,0,32,0,1,0,1,1,1,1,0,1,0,21.27
Universidad,Centro,40.422811257919264,-3.700927613730763,0.691217499886422,Private room in rental unit,Private room,2,1.0,,1.0,2.0,60.0,f,14.0,t,t,85.0,10,6,4,0,7,1,1,1,1,1,0,0,0,0,0,107.5
